en,fr
can i go now?,puis-je m'en aller maintenant ?
i disagree.,je ne suis pas d'accord.
that's ok.,ça va.
ok. i agree.,bien. je suis d’accord.
he loves me.,il m'aime.
do you smoke?,est-ce que tu fumes ?
stay calm.,reste tranquille.
i'll try.,j'essaierai.
we're done.,nous en avons fini.
he's a dj.,il est dj.
is tom alive?,est-ce que tom est vivant ?
he was wrong.,il a eu tort.
are we done?,avons-nous terminé ?
i'm busy.,je suis occupée.
get the box.,prends la boîte.
they kissed.,ils se sont embrassés.
i'm fair.,je suis juste.
let me go!,laisse-moi y aller !
i drink beer.,je bois de la bière.
are you up?,êtes-vous levée ?
i've lost.,j'ai perdu.
are you lost?,êtes-vous perdues ?
did i win?,ai-je gagné ?
be discreet.,soyez discrètes !
be respectful.,soyez respectueux !
it's done.,c'est fait.
that's ok.,il n'y a pas de problème.
you promised.,vous avez promis.
he let me go.,il me laissa m'en aller.
have another.,prends-en un autre.
i'm not ugly.,je ne suis pas laid.
we can try.,nous pouvons essayer.
do i know tom?,est-ce que je connais tom ?
he is a poet.,il est poète.
we agree.,nous sommes d'accord.
i'm not deaf.,je ne suis pas sourd.
hurry up.,grouille !
we made it.,nous l'avons fait.
it's hers.,c'est le sien.
tom's lying.,tom ment.
wake up!,réveille-toi !
be calm.,sois calme !
i'm so happy.,je suis si heureux.
who's hungry?,qui a faim ?
anyone hurt?,qui que ce soit est-il blessé ?
can we talk?,pouvons-nous parler ?
can i come in?,puis-je entrer ?
i had doubts.,j'avais des doutes.
go warm up.,va t'échauffer !
let him go.,laissez-le partir !
i'm innocent.,je suis ingénu.
i caught tom.,j'ai attrapé tom.
can you try?,pouvez-vous essayer ?
i'm finished.,j'ai terminé.
take a rest.,repose-toi.
do you fish?,vous pêchez ?
i disagreed.,j’ai marqué mon désaccord.
i'm the boss.,c'est moi la patronne.
he's so cute.,il est tellement mignon !
pick it up.,ramasse-le.
you're sick!,vous êtes malade !
ignore tom.,ignorez tom.
we got lucky.,nous avons eu de la chance.
get a doctor.,va chercher un médecin !
i'm thorough.,je suis minutieux.
i can sing.,je sais chanter.
i will fight.,je me battrai.
stop!,stop !
tom'll quit.,tom va démissionner.
are we done?,en avons-nous terminé ?
i beg you.,je vous en supplie.
cool it down.,baisse le ton.
who wants it?,qui veut ça ?
i saw you.,je t'ai vu.
are you home?,êtes-vous à la maison ?
many thanks.,merci bien.
wake tom up.,réveille tom !
it has begun.,ça a commencé.
are you sure?,êtes-vous sûr ?
let me go!,laissez-moi m'en aller !
i panicked.,j'ai paniqué.
stay still.,ne bouge pas.
tom came.,tom est venu.
you're rich.,vous êtes riches.
you've tried.,tu as essayé.
i'll be nice.,je serai gentil.
i need them.,j'ai besoin d'elles.
who did it?,qui l'a fait ?
can you pitch?,savez-vous donner le ton ?
take mine.,prenez les miennes.
i mean it!,je suis sérieux !
aim. fire!,en joue ! feu !
they burned.,ils ont brûlé.
i'm kidding.,je plaisante.
watch us.,regarde-nous !
it's garbage.,ce sont des conneries.
ok. go ahead.,"d'accord, allez-y."
i'm powerful.,je suis puissante.
call home!,appelle à la maison !
don't push it.,ne pousse pas le bouchon !
tom walks.,tom marche.
i washed it.,je l'ai lavé.
i like that.,j'apprécie cela.
he can't swim.,il ne sait pas nager.
come soon.,viens bientôt !
you're weak.,tu es faible.
it's mine.,c'est le mien.
i'm a farmer.,je suis un agriculteur.
hurry home.,dépêche-toi d'aller chez toi !
trust me.,fais-moi confiance.
follow him.,suivez-le !
you're rude.,tu es grossière.
let him go!,laisse-le partir !
smell this.,sentez ceci.
i'm eating.,je mange.
he likes me.,il m'apprécie.
i called you.,je vous ai appelés.
they're gone.,il n'y en a plus.
i'm all ears.,je suis tout ouïe.
it's right.,c'est juste.
get the box.,prenez la boîte.
you did that.,vous avez fait cela.
don't move!,ne bougez pas !
iron is hard.,le fer est dur.
tom hates me.,tom me déteste.
it worked.,ça a marché.
beat it.,dégage !
he has wine.,il a du vin.
i'll pass.,je passerai.
tom looked.,tom regarda.
we're paying.,nous sommes en train de payer.
turn it up.,montez-le.
we did it.,nous avons réussi !
come on.,viens !
she's a fox.,c'est un renard.
i'm not shy.,je ne suis pas timide.
anybody here?,y a-t-il qui que soit ici ?
they sweated.,elles ont transpiré.
take a bite.,croque !
i'm baking!,je cuis !
tom agrees.,tom est d'accord.
tom smokes.,tom fume.
see you soon!,à bientôt !
they gave up.,elles ont abandonné.
i was busy.,j'étais occupée.
you're naive.,vous êtes naïf.
are you lost?,êtes-vous perdu ?
she is young.,elle est jeune.
he got angry.,il s'est mis en colère.
i'm no rebel.,je ne suis pas un rebelle.
i was last.,j'ai été dernière.
god bless you!,dieu te bénisse !
we're trying.,nous essayons.
it works.,elle marche.
"oh, really?",oh ! vraiment ?
let me die.,laisse-moi mourir.
here i come.,me voici.
now drink up.,"finissez votre verre, maintenant !"
he found it.,il l'a trouvé.
it's all ok.,c'est tout bon.
fire!,au feu !
it was night.,il faisait nuit.
i'll attend.,j'y assisterai.
go now.,"va, maintenant."
i'm armed.,je suis armé.
wait here.,attends ici.
it's my job.,c'est mon métier.
she liked it.,elle l'a apprécié.
i made plans.,j'ai élaboré des plans.
it was fair.,c'était juste.
tom is ok.,tom va bien.
i can jump.,je peux sauter.
do fish sleep?,les poissons dorment-ils ?
i'm sloshed.,je suis bourrée.
let me check.,laisse-moi contrôler.
i wrote that.,c'est moi qui ai écrit ça.
i'm finished.,j'en ai terminé.
i need a job.,il me faut un travail.
it's odd.,c'est bizarre.
i'm losing.,je suis en train de perdre.
be calm.,soyez calmes !
i'm truthful.,je dis la vérité.
don't die.,ne meurs pas !
it's a scam.,c'est une arnaque.
i'm okay.,je me porte bien.
i'm not busy.,je ne suis pas occupé.
wait for tom.,attends tom.
i'm not sad.,je ne suis pas triste.
i have a pen.,j’ai un stylo.
what's wrong?,qu'est-ce qui ne va pas ?
have a snack.,prenez un en-cas !
i'm tired.,je suis fatigué !
i like both.,j'aime les deux.
they're bad.,elles sont mauvaises.
stand back!,reculez !
ignore tom.,ignore tom.
i'm rational.,je suis rationnelle.
we'll try.,nous tenterons.
tom is new.,tom est nouveau.
stay down!,restez baissé.
can you swim?,sais-tu nager ?
we're shaken.,nous sommes remués.
i did my job.,j'ai fait mon travail.
here we go.,c'est parti !
we're pooped.,nous sommes crevés.
tom is dying.,tom meurt.
are you bald?,es-tu chauve ?
this is love.,c'est l'amour.
we saw you.,nous vous avons vu.
get out.,sors.
i saw it.,je l’ai vu.
stay in bed.,restez alité !
can you drive?,sais-tu conduire ?
are you busy?,es-tu occupé ?
don't move!,ne bouge pas !
i like blue.,j'apprécie le bleu.
it's ironic.,c'est ironique.
i'm famished.,je suis affamé !
i felt dumb.,je me suis senti idiot.
i'm sure.,j'en suis sûre.
you're nuts!,vous êtes givré !
i felt awful.,je me suis sentie affreusement mal.
tom's deaf.,tom est sourd.
you're fussy.,tu es difficile.
we'll drive.,nous conduirons.
shut up!,ferme-la !
stay in bed.,restez au lit !
i'm grateful.,je suis reconnaissant.
get off of me.,lâche-moi.
tom drives.,tom conduit.
we're lost.,nous sommes perdus.
it's warmer.,c'est plus chaud.
i did that.,c'est moi qui l'ai fait.
be a man.,sois un homme !
leave me.,laissez-moi !
i got fined.,j'ai été verbalisée.
are you alone?,êtes-vous seul ?
he will come.,il devrait arriver.
i can manage.,je peux me débrouiller.
i'm normal.,je suis normale.
we overslept.,nous n'avons pas entendu le réveil.
who has it?,qui l'a ?
stop crying.,arrête de pleurer !
i am coming.,j'arrive.
he kicked it.,il y donna un coup de pied.
i was warned.,on m'a prévenu.
you're weird.,vous êtes bizarre.
use them all.,utilisez-les toutes !
tom is mad.,tom est fou.
don't push it.,pousse pas le bouchon !
do you agree?,tu es d'accord ?
do me a favor.,fais-moi une faveur.
i always win.,je gagne toujours.
they escaped.,elles se sont échappées.
it's complex.,c'est compliqué.
no one came.,personne n'est venu.
is it a deer?,s'agit-il d'un cerf ?
please leave.,veuillez vous en aller.
call a doctor.,appelle un médecin !
i saw a dog.,j'ai vu un chien.
face facts!,regardez les faits en face.
they hugged.,ils se sont enlacés.
you're nuts!,t'es givrée !
need a lift?,t'as besoin d'un chauffeur ?
are you hot?,avez-vous chaud ?
don't be mad.,ne fais pas la tête.
i'm creative.,je suis créative.
are we alone?,sommes-nous seules ?
keep trying.,continuez à essayer.
he gave in.,il céda.
you're good.,vous êtes bon.
look here.,regarde ici.
be fair.,soyez équitable !
what fun!,qu'est-ce qu'on s'est marrées !
let's do it!,mettons-nous y !
we made it.,nous avons réussi.
is it clean?,est-ce propre ?
tom is wise.,tom est raisonnable.
i must hurry.,je dois me hâter.
i pay taxes.,je paie des impôts.
get out!,sortez !
call the cops.,appelle les flics !
we succeeded!,nous avons réussi !
i'm dizzy.,j'ai la tête qui tourne.
that's it.,c'est ça.
here's $5.,voilà cinq dollars.
have a drink.,prenez un verre !
you're cruel.,vous êtes cruel.
you're free.,vous êtes libre.
i'm reformed.,je me suis amendé.
give it to me.,donne-le-moi.
did tom fall?,tom est-il tombé ?
he will come.,il viendra.
forget it!,oubliez !
did that work?,ça a fonctionné ?
stop arguing.,arrête de te quereller !
i'm not sure.,je n'en suis pas certain.
i'm ruthless.,je suis impitoyable.
they crashed.,elles se sont écrasées.
you're fair.,tu es juste.
we'll go.,nous irons.
grab a seat.,prends-toi un siège !
help us.,aide-nous !
i'm a baker.,je suis boulangère.
it's fun.,c'est rigolo.
i'm fussy.,je suis tatillonne.
can he see us?,est-il en mesure de nous voir ?
i'm naked.,je suis nue.
she's nice.,elle est gentille.
say goodbye.,dis au revoir.
tom paid.,tom a payé.
who built it?,qui l'a bâti ?
be calm.,soyez calme !
am i fat?,suis-je grosse ?
let me go.,laisse-moi partir !
i have proof.,j'ai une preuve.
i will try.,je vais essayer.
i need water.,il me faut de l'eau.
i'm excited.,je suis excitée.
please sing.,"chantez, je vous prie !"
i work alone.,je travaille seul.
you may swim.,tu peux nager.
it's open.,c'est ouvert.
don't kid me!,ne me charrie pas !
i'm unbiased.,je suis impartiale.
i tripped.,j'ai plané.
i'll pay you.,je vous paierai.
i'm retired.,je suis pensionné.
can he see me?,est-il en mesure de me voir ?
i'm so sorry.,je suis tellement désolée !
stop lying.,arrêtez de mentir.
what a shock!,quel choc !
hi.,salut !
it's green.,c'est vert.
that is mine.,c'est à moi.
what'd i do?,que ferais-je ?
what a bore!,quel emmerdeur !
you're good.,t'es bon.
wash up.,lavez-vous !
what is art?,qu'est-ce que l'art ?
he has money.,il dispose d'argent.
let's dance.,dansons.
we have room.,nous avons de la place.
you're early.,tu viens tôt.
here we are.,nous y voici.
who's coming?,qui vient ?
let me sleep.,laisse-moi dormir.
thanks again.,"encore une fois, merci."
war is hell.,"la guerre, c'est l'enfer."
i'm chubby.,je suis grassouillet.
i don't read.,je ne lis pas.
step forward.,fais un pas en avant.
i am human.,je suis humain.
he's swiss.,il est helvète.
are you busy?,êtes-vous occupé ?
i surrender.,je me rends.
i'm not mean.,je ne suis pas méchant.
she knows me.,elle me connaît.
it'll break.,ça va se biser.
i was naive.,j'ai été naïve.
i can run.,je sais courir.
don't push me.,ne me pousse pas !
it is a book.,ceci est un livre.
is tom ill?,est-ce que tom est malade ?
i was there.,je m'y trouvais.
i'll go back.,je reviendrai.
it was white.,c'était blanc.
i am sure.,je suis sûr.
have a seat.,prends place.
who told you?,qui vous l'a raconté ?
are you bored?,vous ennuyez-vous ?
i'm popular.,je suis populaire.
say hello.,dis bonjour.
won't you go?,ne vas-tu pas y aller ?
what for?,à quoi bon ?
are you deaf?,êtes-vous sourde ?
he was brave.,il était brave.
i was wrong.,j'eus tort.
tom's left.,tom est parti.
what a dope!,quel couillon !
be respectful.,soyez respectueuses !
i'd leave.,je partirais.
we have wine.,nous avons du vin.
are you sure?,êtes-vous sûre ?
cuff him.,menottez-le.
are you alone?,êtes-vous seule ?
what's new?,quoi de nouveau ?
take a look.,regarde !
come with me.,venez avec moi.
get dressed.,habille-toi.
is that so?,est-ce le cas ?
we're even.,nous sommes quittes.
be creative.,soyez créatives !
is it a wolf?,est-ce un loup ?
i saw it.,je l'ai vu.
we're here.,nous sommes là.
let's do it!,faisons-le !
am i fired?,vous me mettez à la porte ?
i loved you.,je t'ai aimée.
that's odd.,c'est bizarre.
i'm bleeding.,je suis en train de saigner.
time is up.,le temps est écoulé.
who cheated?,qui a triché ?
i have a gun.,je dispose d'une arme.
nice timing.,pile poil !
we all quit.,nous démissionnons toutes.
we like tom.,nous aimons tom.
i waved.,j’ai fait signe.
feed the bird.,nourrissez l'oiseau.
is this fake?,est-ce du chiqué ?
tom paints.,tom peint.
i'm starved.,j'ai la dalle.
get some rest.,prenez quelque repos !
you're safe.,tu es en sécurité.
don't despair.,ne désespérez pas !
it's ours.,c'est le nôtre.
i want to go.,je veux m'en aller.
don't kid me!,ne me faites pas marcher !
i went twice.,je m'y suis rendue à deux reprises.
i'm a cop.,je suis flic.
can i ask who?,puis-je demander qui ?
please sing.,"s'il te plaît, chante !"
don't do this.,ne faites pas ça !
i've decided.,j'ai décidé.
be nice.,sois gentil !
i am so sick.,je suis tellement malade.
is tom sure?,est-ce que tom est sûr ?
i woke up.,je me suis réveillé.
i paid.,j’ai payé.
i'm a surfer.,je suis surfeur.
you must go.,tu dois t'en aller.
get to bed.,au lit !
get your gear.,allez chercher votre matériel !
you're stuck.,t'es planté.
how is life?,comment est la vie ?
try it again.,essaie de nouveau.
you're lazy.,vous êtes paresseux.
i'm psychic.,je suis voyante.
i'm shy.,je suis timide.
did i ask you?,te l'ai-je demandé ?
we're broke.,nous sommes fauchées.
let's party.,faisons la fête.
help me.,aidez-moi.
he quit.,il laissa tomber.
i felt happy.,je me suis senti heureux.
i smell gas.,je sens le gaz.
i get it.,j'ai compris.
let's work.,travaillons !
i'm okay.,je vais bien.
what is that?,qu'est-ce que c'est que ça ?
go slow.,va doucement !
i know cpr.,je connais la rcp.
come off it!,arrête de te la péter !
it's a shame.,c'est dommage.
keep quiet!,restez tranquille !
are you bored?,vous vous ennuyez ?
it's locked.,c'est verrouillé.
don't be shy.,ne vous gênez pas.
we sat there.,nous nous sommes assis là-bas.
call me back.,rappelez-moi.
hold my hand.,tiens ma main.
look out!,regarde donc !
i am tired.,je suis fatigué !
don't do it.,ne le fais pas !
close the box.,fermez la boîte.
she is wrong.,elle a tort.
this is lame.,c'est mauvais.
i sell shoes.,je vends des chaussures.
i'm 99% sure.,j'en suis sûr à 99%.
be yourself.,soyez vous-même.
they voted.,ils ont voté.
go away!,dégage !
are you hurt?,êtes-vous blessées ?
be watchful.,soyez prudent !
i saw one.,j'en ai vu un.
i want that.,je le veux.
don't get fat.,ne grossis pas.
i'm so full.,je suis tellement rassasié.
i felt ill.,je me sentis malade.
anyone home?,qui que ce soit est-il à la maison ?
you are good.,vous êtes bon.
this is mine.,il s'agit du mien.
tom's lucky.,tom est chanceux.
i'm teasing.,je taquine.
don't speak.,ne parle pas.
they're weak.,elles sont faibles.
just say yes.,dis juste oui !
don't despair.,ne désespère pas !
you're nuts!,vous êtes givrée !
it's sweet.,c'est mignon.
i'm free now.,je suis libre maintenant.
you promised.,tu as promis.
be nice.,sois gentille !
stand back!,reculez-vous !
i saved you.,je t'ai sauvée.
let me try.,laissez-moi essayer.
good morning.,bonjour !
nice timing.,pile à l'heure !
let's drink.,buvons !
i'm gullible.,je suis crédule.
you're shy.,vous êtes timide.
tom is dying.,thomas est mourant.
it's my book.,c'est mon livre.
memorize it.,mémorise-le.
don't rush.,ne vous précipitez pas.
sign here.,signe ici.
please come.,"s'il te plait, viens."
i succeeded.,j’ai réussi.
who will win?,qui va gagner ?
i'm at work.,je suis au travail.
bless you.,à tes souhaits !
tom's afraid.,tom est apeuré.
i got carded.,on m'a demandé ma carte d'identité pour vérifier mon âge.
i canceled.,j’ai annulé.
try this.,essaie ceci !
you're lying.,vous mentez.
you're nuts!,t'es dingue !
you are big.,tu es grand.
you're old.,vous êtes vieux.
it's awful.,c'est terrible.
how are you?,comment il va ?
she blushed.,elle a rougi.
of course!,mais ouais !
he made it.,il a réussi.
talk to me!,parle-moi !
i can do it.,je peux y parvenir.
he shall die.,il doit mourir.
shame on you!,honte à toi !
please leave.,"pars, je te prie."
is it hot?,est-ce chaud ?
i stood.,je me suis tenu debout.
i'm free.,je suis disponible.
i made tea.,j'ai préparé du thé.
what a jerk!,quel naze !
hand it over.,remets-le.
you're lying!,vous mentez !
it was flat.,il était plat.
are they new?,sont-ils neufs ?
i need water.,j'ai besoin d'eau.
take a card.,prenez une carte.
do your best.,faites au mieux.
tom's home.,tom est chez lui.
i want this.,je veux ceci.
it was ok.,c'était bon.
who told you?,qui vous l'a dit ?
i'm mistaken.,je me trompe.
i got upset.,j'ai été contrarié.
i'm naked.,je me trouve nu.
we all quit.,nous arrêtons toutes.
i got dizzy.,j'ai été prise de vertiges.
no one spoke.,personne ne parla.
you lost.,tu as perdu.
you're wrong.,tu as tort.
is it far?,est-ce éloigné ?
it's funny.,c'est drôle.
marry me.,épouse-moi !
i'm addicted.,j'ai une assuétude.
i could walk.,je pouvais marcher.
be discreet.,soyez discret !
what a bore!,quelle emmerdeuse !
make a guess.,devine !
i don't date.,je ne sors pas avec un garçon.
please leave.,je te prie de partir.
i want a job.,je veux un boulot.
it's new.,c'est nouveau.
be nice.,soyez gentille !
we must talk.,il nous faut discuter.
i'm faster.,je suis plus rapide.
i am so sick.,je suis si malade.
please stay.,"restez, s'il vous plaît."
it'll break.,il va se briser.
tom left me.,tom m’a quittée.
take it easy.,reste cool.
i'm cool.,je suis détendu.
stop whining.,arrête de geindre.
tom lied.,tom a menti.
is that so?,en est-il ainsi ?
am i hired?,suis-je engagé ?
i gave up.,j'ai abandonné.
i found it.,je l'ai trouvé.
this is ugly.,c'est laid.
i like china.,j'aime la chine.
we forgot.,nous avons oublié.
i hate beans.,je déteste les haricots.
he has braces.,il porte des bretelles.
draw a circle.,trace un cercle.
keep out.,n'entrez pas.
i'm famous.,je suis connu.
i was dizzy.,la tête me tournait.
bring food.,apportez de la nourriture.
i need a hug.,j'ai besoin d'un câlin.
i'm naked.,je suis à poil.
you're tough.,vous êtes dur.
i'll get you.,j'irai te prendre.
he's good.,il est bon.
tom is cruel.,tom est cruel.
help tom.,aidez tom.
face facts!,rendez-vous à l'évidence.
they're old.,ils sont vieux.
you tried.,vous avez essayé.
taste this.,essayez ceci !
we're tired.,nous sommes fatigués.
you're safe.,vous êtes sauves.
how are you?,comment allons-nous ?
i felt naked.,je me sentis nu.
don't be mean.,ne sois pas mesquin !
tom's eating.,tom est en train de manger.
i'm loaded.,je suis saoul.
are you busy?,es-tu occupé ?
i'm flabby.,je suis flasque.
call the cops.,appellez les flics !
it's not us.,ce n'est pas nous.
you're big.,vous êtes grande.
you're silly.,vous êtes idiotes.
i was alone.,j'étais seul.
i'm so tired.,je suis si fatiguée.
tom sighed.,tom soupira.
take cover!,mets-toi à l'abri !
be careful!,fais gaffe !
i'm at home.,je suis à la maison.
don't bother.,ne dérange pas.
keep singing.,continue de chanter.
go on.,poursuis.
make a list.,fais une liste !
i like dogs.,j'aime les chiens.
i've failed.,j'ai échoué.
cheers!,santé !
tom's afraid.,tom est effrayé.
it will burn.,ça va brûler.
show me.,montre-moi !
i'm greedy.,je suis gourmand.
be discreet.,soyez discrets !
beat the eggs.,battez les œufs.
you're big.,vous êtes grand.
it's sad.,c’est triste.
"i went, too.",j'y suis également allé.
stay in bed.,restez alitées !
i got fined.,j'ai pris une prune.
use them all.,utilisez-les tous !
stop tom.,stoppez tom.
did i ask you?,vous l'ai-je demandé ?
i nailed it.,j'ai mis la main dessus.
i got busy.,je suis devenu occupée.
drop the gun.,lâchez l'arme !
i can't go.,je ne peux pas m'y rendre.
release him.,relâchez-le !
what was it?,qu'était-ce ?
they'll grow.,ils grandiront.
it'll be hot.,il va faire chaud.
i relaxed.,je me suis détendu.
i'm tall.,je suis grande.
i'm no liar.,je ne suis pas un menteur.
we smiled.,nous avons souri.
you're kind.,tu es gentille.
it's a fad.,c'est une passade.
i like cats.,j’aime les chats.
how nice!,c'est du joli !
i'm grounded.,je suis cloué.
money talks.,l'argent est roi.
many thanks.,merci beaucoup !
you're drunk.,vous êtes saouls.
take mine.,prenez les miens.
you are rich.,vous êtes riches.
is it a wolf?,est-ce une louve ?
i hate that.,je déteste ça.
who phoned?,qui a téléphoné ?
it's a rumor.,il s'agit d'une rumeur.
where is it?,où est-il ?
i was wrong.,j'avais tort.
step forward.,avancez d'un pas.
i must go.,il faut que je m'en aille.
i'm ill.,je suis malade.
are you hurt?,vous êtes-vous blessés ?
i've retired.,j'ai pris ma retraite.
did that work?,est-ce que ça a marché ?
i won again.,j'ai à nouveau gagné.
tom drinks.,tom boit.
we're broke.,on est fauchés.
bring it here.,apporte-le ici.
who's here?,qui est là ?
do it quickly.,faites-le vite !
give me a hug.,serre-moi dans tes bras !
who sent you?,qui vous a envoyé ?
can we leave?,pouvons-nous partir ?
we're at war.,nous sommes en guerre.
i got upset.,j'ai été contrariée.
i'm not tom.,je ne suis pas tom.
i eat alone.,je mange seule.
we're saved.,nous sommes sauvés.
please stop.,"s'il te plaît, arrête."
i'll call.,j'appellerai.
did we win?,avons-nous gagné ?
he's in pain.,il souffre.
we get on ok.,on s'entend bien.
i can't wait.,je suis impatient.
attack!,attaque !
let me go!,laisse-moi partir !
tom refused.,tom a refusé.
it's too big.,c'est trop grand.
it's obvious.,ça saute aux yeux.
am i stupid?,suis-je idiot ?
what's that?,qu'est-ce que c'est que ça ?
i'm a priest.,je suis prêtre.
we saw you.,nous t'avons vu.
don't run.,ne cours pas.
how's tom?,comment va tom ?
i'm paying.,c'est moi qui paie.
cover it up.,camouflez-le.
i oppose it.,je m'y oppose.
give me a hug.,serrez-moi dans vos bras !
he broke them.,il les a cassées.
be careful.,sois prudente !
don't jump!,ne sautez pas !
she came.,elle est venue.
i messed up.,j'ai dégueulassé.
are we ready?,sommes-nous prêtes ?
i'm wealthy.,je suis fortuné.
i'm better.,je vais mieux.
tom was poor.,tom était pauvre.
cook for me.,cuisine pour moi.
have a donut.,prends un beignet.
i feel silly.,je me sens stupide.
thanks a lot.,merci bien.
be respectful.,sois respectueux !
i am cold.,j'ai froid.
i go to work.,je pars au boulot.
you're nice.,t'es sympa.
is it you?,est-ce toi ?
answer me.,répondez-moi.
get my rifle.,attrape ma carabine !
we like it.,nous l'apprécions.
i am right.,j'ai raison.
we're normal.,nous sommes normaux.
i have a car.,j'ai une voiture.
i'm cultured.,je suis cultivé.
try hard.,fais un effort.
i threw up.,j'ai vomi.
who's that?,qui est-ce ?
could we walk?,pourrions-nous marcher ?
what's this?,c'est quoi ?
we got lucky.,on a eu de la chance.
it's phony.,c'est du pipeau tout ça.
they said no.,ils dirent non.
no problem.,pas de problème.
they cheat.,elles trichent.
is tom lazy?,est-ce que tom est paresseux ?
this is ours.,c'est à nous.
i exhaled.,j’ai expiré.
am i early?,suis-je en avance ?
i'm free!,je suis libre !
anything new?,il y a du nouveau ?
don't kill me.,ne me tuez pas !
eat something.,mange quelque chose !
i'll risk it.,je tenterai le coup.
seize him!,attrapez-le !
they're bad.,ils sont mauvais.
i am thirsty.,j'ai soif.
no problem.,ce n'est rien.
lie still.,"restez allongées, immobiles !"
i obeyed.,j’ai obéi.
i feel giddy.,j'ai la tête qui tourne.
i hate you.,je te déteste.
i didn't go.,je ne m'y suis pas rendu.
i'll be back.,je reviens.
tom's asleep.,tom est endormi.
is this fake?,c'est du chiqué ?
we'll win.,nous gagnerons.
there he is.,le voici.
i started it.,je l'ai initié.
hang on tight!,accrochez-vous bien !
she hit him.,elle l'a frappé.
did i blow it?,est-ce que j'ai vendu la mèche ?
did tom drown?,tom s'est-il noyé ?
tom's stoned.,tom est stone.
is that a no?,est-ce un non ?
no way!,il n'en est pas question !
are you ready?,prêts ?
stop reading.,arrête de lire.
let's not go.,n'y allons pas !
have him come.,fais-le venir.
i'll go now.,j'y vais maintenant.
flip a coin.,lance une pièce !
i'll pack.,je ferai ma valise.
i'm a dancer.,je suis danseuse.
i'm prepared.,je suis préparée.
i'm ticklish.,je suis chatouilleux.
that's crazy.,c'est fou.
never mind!,n'y prête pas attention.
be creative.,soyez créative !
i didn't ask.,je n'ai pas demandé.
eat your peas.,mangez vos petits pois.
i'll be nice.,je serai gentille.
i'm punctual.,je suis ponctuelle.
don't give up.,ne laissez pas tomber.
it's fun.,c'est marrant.
i'll pay you.,je te paierai.
am i fat?,suis-je gros ?
my feet hurt.,mes pieds me font mal.
i'll start.,je commencerai.
are you tired?,êtes-vous fatiguées ?
i am taller.,je suis plus grand.
come alone.,venez seuls !
go to school.,va à l'école.
i need money.,j'ai besoin d'argent.
do it right.,fais-le comme il faut !
is it enough?,est-ce assez ?
i agree.,je suis du même avis.
it's for you.,c'est pour vous.
tom's angry.,tom est en colère.
be attentive.,sois attentif.
get my rifle.,attrapez ma carabine !
i called you.,je vous ai appelé.
it's ours.,c'est la nôtre.
tom helped.,tom a aidé.
he is eight.,il a huit ans.
drop it!,laisse tomber !
this is ugly.,c'est hideux.
i'll sue you.,je vous poursuivrai en justice.
i nailed it.,je l'ai cloué.
is that all?,c'est tout ?
i missed you.,tu m'as manqué.
you may sit.,tu peux t'asseoir.
i have it.,je l'ai.
i'm a doctor.,je suis toubib.
call me back.,rappelle-moi.
take mine.,prends les miennes.
they're cool.,elles sont sympa.
excuse me.,excuse-moi.
can we leave?,peut-on s'en aller ?
that's her.,c'est elle.
it's cold.,il fait froid.
it's true!,c'est vrai !
all is quiet.,tout est calme.
i'll pack.,je plierai mes gaules.
i feel ready.,je me sens prêt.
be nice.,soyez gentilles !
we miss you.,tu nous manques.
of course!,pour sûr.
i can't sing.,je suis incapable de chanter.
i'm first.,je suis en premier.
i'm full.,je suis repu !
it is new.,c'est neuf.
i like cake.,j'aime les gâteaux.
that's all.,c'est tout.
i like women.,j'apprécie les femmes.
we survived.,nous survécûmes.
i was there.,j'y étais.
you're cruel.,vous êtes cruelles.
thanks.,merci !
she is late.,elle est en retard.
hands off.,pas touche !
i eat fruit.,je mange des fruits.
go to bed.,va au lit !
you're naive.,vous êtes naïve.
he's sexy.,il est sexy.
i rewrote it.,je l'ai réécrit.
here i come.,j'arrive.
let me help.,laisse-moi t'aider !
anyone home?,quiconque est-il dans la maison ?
don't tell me.,ne me le dis pas.
we were busy.,nous étions occupées.
talk to me!,parlez-moi !
loosen up.,détends-toi !
i got fined.,on m'a mis une contravention.
here we are!,nous voici !
you're rich.,vous êtes riche.
pardon me?,je vous demande pardon ?
act your age.,comportez-vous comme quelqu'un de votre âge.
i'm alive.,je suis en vie.
i loved it.,j'adorais ça.
keep running.,continuez à courir.
nice timing.,bien calculé !
i tried that.,j'ai essayé ça.
i'm sloshed.,je suis bourré.
wait a sec.,attends une seconde !
move over.,bouge de là.
you're lost.,tu es perdue.
be punctual.,soyez ponctuel !
help me.,aide-moi.
i buried it.,je l'ai enterrée.
i like cats.,j'aime les chats.
ask them.,demandez-leur.
are you hurt?,êtes-vous blessée ?
i just moved.,je viens d'être muté.
i am fat.,je suis gras.
you're tough.,vous êtes durs.
i enjoyed it.,j'y ai pris plaisir.
i'd buy that.,je le goberais.
i want to go.,je veux y aller.
beer's good.,la bière est bonne.
be content.,soyez satisfaites !
i feel funny.,je me sens bizarre.
i'm stubborn.,je suis têtue.
are we lost?,sommes-nous perdus ?
i'm very sad.,je suis très triste.
i'm married.,je suis marié.
let me check.,laissez-moi contrôler.
it'll work.,ça marchera.
remember it.,souviens-en-toi.
i give up.,j'abandonne.
take it all.,prenez tout !
don't push it.,poussez pas le bouchon !
let me go!,lâche-moi !
will it fit?,cela passera-t-il ?
i'm married.,je suis mariée.
